,,,,,,,
,,,,,,,
chave_sus_ibge,UF,COD. MUNIC,NOME DO MUNICÍPIO,População Censo 2022,POP_COBERTA_SUS,pop_coberta_DATASUS,taxa de cobertura
ROALTAFLORESTAD'OESTE,RO,00015,Alta Floresta D'Oeste, 21 494,22516,"22516,00",1
ROARIQUEMES,RO,00023,Ariquemes, 96 833,"68,425","68425,00","0,706628938481716"
ROCABIXI,RO,00031,Cabixi, 5 351,"5,067","5067,00","0,946925808260138"
ROCACOAL,RO,00049,Cacoal, 86 887,"52,325","52325,00","0,602218974069769"
ROCEREJEIRAS,RO,00056,Cerejeiras, 15 890,"16,088","16088,00",1
ROCOLORADODOOESTE,RO,00064,Colorado do Oeste, 15 663,"15,213","15213,00","0,971269871672093"
ROCORUMBIARA,RO,00072,Corumbiara, 7 519,"7,052","7052,00","0,937890676951722"
ROCOSTAMARQUES,RO,00080,Costa Marques, 12 627,"16,100","16100,00",1
ROESPIGÃOD'OESTE,RO,00098,Espigão D'Oeste, 29 414,"27,600","27600,00","0,938328687019786"
ROGUAJARÁMIRIM,RO,00106,Guajará-Mirim, 39 387,"46,930","46930,00",1
ROJARU,RO,00114,Jaru, 50 591,"50,600","50600,00",1
ROJIPARANÁ,RO,00122,Ji-Paraná, 124 333,"108,100","108100,00","0,869439328255572"
ROMACHADINHOD'OESTE,RO,00130,Machadinho D'Oeste, 30 707,"37,950","37950,00",1
RONOVABRASILÂNDIAD'OESTE,RO,00148,Nova Brasilândia D'Oeste, 15 679,"20,504","20504,00",1
ROOUROPRETODOOESTE,RO,00155,Ouro Preto do Oeste, 35 044,"35,445","35445,00",1
ROPIMENTABUENO,RO,00189,Pimenta Bueno, 35 079,"37,098","37098,00",1
ROPORTOVELHO,RO,00205,Porto Velho, 460 434,"246,100","246100,00","0,534495714912452"
ROPRESIDENTEMÉDICI,RO,00254,Presidente Médici, 19 327,"18,165","18165,00","0,939876856211518"
RORIOCRESPO,RO,00262,Rio Crespo, 3 471,"3,843","3843,00",1
ROROLIMDEMOURA,RO,00288,Rolim de Moura, 56 406,"55,748","55748,00","0,988334574336064"
ROSANTALUZIAD'OESTE,RO,00296,Santa Luzia D'Oeste, 7 419,"5,942","5942,00","0,800916565574875"
ROVILHENA,RO,00304,Vilhena, 95 832,"83,375","83375,00","0,870012104516237"
